date,Close,log_return,rv_22d,realised_skew_22d,realised_kurt_22d,realised_quarticity_22d,jump_flag,garman_klass_rv,parkinson_rv,quote_date,index,amihud_illiq,garman_klass_rv_5d,parkinson_rv_5d,amihud_illiq_5d_mean,garman_klass_rv_21d,parkinson_rv_21d,amihud_illiq_21d_mean,atm_iv_30d,atm_iv_90d,term_structure_slope,skew_30d,avg_bid_ask_spread_pct,avg_open_interest,underlying_price,liquid_options_volume,atm_iv_30d_lag_1,atm_iv_30d_lag_2,atm_iv_30d_lag_3,atm_iv_30d_lag_4,atm_iv_30d_lag_5,atm_iv_30d_change_1d,underlying_price_change_1d,iv_fpca1,iv_fpca2,iv_fpca3
2018-06-04,2343.0129242728494,0.005635545034491389,0.011390769329748612,0.877523079801449,2.635845687267207,8.688586340330724e-07,0.0,-1.2250554472374891e-05,1.2919503838343818e-08,2018-06-04,3629.0,6.014998782666608e-10,-3.342241767971747e-05,1.602613419008607e-08,8.838226506595021e-10,-1.802540953026857e-05,1.7295622185611637e-08,5.601006673919023e-10,0.0932,,,-0.034,0.0002681196538115594,1226.308249158249,2747.48,798.2490039840637,0.0993,0.1126,0.1046,0.1262,0.0999,-0.006099999999999994,0.005651454590708704,-2.510531214653398,0.08881492382116893,-0.04338447397614197
2018-06-05,2343.0129242728494,5.81970923127531e-05,0.011239389616250026,0.902645703465221,2.703333592756541,8.67577178301064e-07,0.0,1.7295003236084607e-08,1.3419476216366002e-08,2018-06-05,3630.0,6.011198005804579e-12,-2.4096130713145333e-05,1.4231452845054141e-08,6.666788112130576e-10,-1.4197064033869724e-05,1.709320956743091e-08,4.831126740682836e-10,0.0928,,,-0.03710000000000001,0.00025686481178701975,1229.352853843616,2747.6399000000006,1043.096681096681,0.0932,0.0993,0.1126,0.1046,0.1262,-0.00040000000000001146,5.8198785796603765e-05,-2.5270758817895107,0.09969256428967002,-0.026841771830007313
2018-06-06,2343.0129242728494,0.00718760700173548,0.009447027012656478,0.6502388597265188,2.5115943729272714,5.694594981948155e-07,0.0,-1.9937584811405898e-05,1.3731878416002326e-08,2018-06-06,3631.0,7.0907493938211e-10,-1.535603925392955e-05,1.4142288075466828e-08,5.441877106929544e-10,-1.5078735828659447e-05,1.6791430717248007e-08,5.063028356084959e-10,0.0857,,,-0.0316,0.00026726027007559683,1265.6626455204994,2767.459999999999,1268.3327759197325,0.09279999999999998,0.0932,0.0993,0.1126,0.1046,-0.007099999999999995,0.007213499847632531,-2.8094317850090627,0.13539649328471767,-0.02882087098356511
2018-06-07,2343.0129242728494,0.0008776400985494721,0.009412845090662638,0.6524701450848744,2.5294288782981758,5.693604824845016e-07,0.0,-2.724925086274514e-07,1.8070873975295883e-08,2018-06-07,3632.0,8.467220760655166e-11,-1.2723153448922119e-05,1.4446435973092644e-08,4.583138641573964e-10,-1.508900884020851e-05,1.6504443124235592e-08,5.080336408186035e-10,0.0887,,,-0.0348,0.00034035310208615897,1253.5565744227936,2769.8899000000006,1373.783034257749,0.0857,0.0928,0.0932,0.0993,0.11260000000000002,0.0030000000000000027,0.0008780253373132929,-2.6884043692998643,0.10903629557352187,-0.0780149827374427
2018-06-08,2343.0129242728494,0.0026716606214011868,0.009491931381260591,0.6481044502668089,2.489084862085464,5.697336999174529e-07,0.0,-2.7362191905655517e-06,1.5192513113395275e-08,2018-06-08,3633.0,3.0646997511471596e-10,-7.03591119594743e-06,1.4666849111880661e-08,3.4154563967516694e-10,-1.3773604442432743e-05,1.64036800080259e-08,4.825606309440112e-10,0.091,,,-0.034600000000000006,0.00027871460557882624,1228.8485339381175,2777.2999999999997,1226.3752012882449,0.0887,0.0857,0.0928,0.0932,0.0993,0.0022999999999999965,0.0026752326870462806,-2.689419958639433,0.10708476947626452,-0.014581623882553064
2018-06-11,2343.0129242728494,0.0033752429760342583,0.008721475532323983,0.5887072460180264,2.718436319524049,5.253178072241448e-07,0.0,-4.382682291691456e-06,1.3045927032735682e-08,2018-06-11,3634.0,3.7129160888606953e-10,-5.462336759810745e-06,1.4692133750759033e-08,2.9550398579904875e-10,-1.2079593577470595e-05,1.613305814262685e-08,4.4757083733763385e-10,0.0894,,,-0.031700000000000006,0.00028772204424157153,1236.2641615706468,2786.6899000000008,1447.2168458781362,0.091,0.0887,0.0857,0.0928,0.0932,-0.0016000000000000042,0.003380945522630352,-2.679182879142496,0.11304404465648435,-0.04217786757183553
2018-06-12,2343.0129242728494,-0.001055536124879125,0.007548650484581885,0.438830533707508,3.0861523661607033,4.467648775061065e-07,0.0,-4.1294543409100454e-07,1.2585309421715538e-08,2018-06-12,3635.0,1.1036405179296306e-10,-5.548384847276161e-06,1.452530039182894e-08,3.1637455655648036e-10,-1.2017605350253132e-05,1.5872718138539937e-08,4.3993393697943887e-10,0.085,,,-0.028499999999999998,0.00025769030972549295,1252.6264168765742,2783.7499999999995,1416.137254901961,0.0894,0.091,0.0887,0.0857,0.0928,-0.004399999999999987,-0.0010549792425776916,-2.743897821312018,0.12345043971801914,-0.038268483139362174
2018-06-13,2343.0129242728494,-0.0007330930745571059,0.007503219493194555,0.4400379970347265,3.1226128606428207,4.4661825634235445e-07,0.0,-1.8661015699250158e-07,1.514416184421347e-08,2018-06-13,3636.0,6.897574022909434e-11,-1.5981899163934812e-06,1.480775707747117e-08,1.8835471672587729e-10,-1.2007804086917811e-05,1.5896474545265123e-08,4.371957928799765e-10,0.0927,,,-0.02729999999999999,0.0003078602560137131,1297.4316680096697,2781.7099999999996,1548.91968503937,0.085,0.0894,0.091,0.0887,0.0857,0.0076999999999999985,-0.0007328244274809048,-2.6536172154926843,0.09307449781343505,-0.08592011413957108
2018-06-19,2343.0129242728494,-0.0039554618883529446,0.00659988061147707,0.6671914247500647,3.62023561824945,4.006194415124739e-07,0.0,-6.024702721076951e-06,1.3802808811853859e-08,2018-06-19,3640.0,3.903238018140058e-10,-2.2468340041980002e-06,1.3184315132653564e-08,2.0020886708090692e-10,-1.054049300574899e-05,1.51344267792407e-08,3.93365586227905e-10,0.0982,,,-0.04529999999999999,0.0002518771612455916,987.5199999999999,2760.3798999999995,1214.4358974358972,0.0914,0.0844,0.0884,0.0927,0.085,0.0068000000000000005,-0.003947649353100768,-2.301688250460218,0.10993467026495579,-0.07015453109168608
2018-06-20,2343.0129242728494,0.00330931552814697,0.006702073762045969,0.6649592410623387,3.5181173765145335,4.014687602583807e-07,0.0,-4.21152188402697e-06,1.3711062329656358e-08,2018-06-20,3641.0,3.5859882587223003e-10,-3.0518163496048942e-06,1.2897695229742142e-08,2.5813348420953404e-10,-1.018496628481652e-05,1.4984771339370333e-08,3.789949455919033e-10,0.0901,,,-0.04029999999999999,0.00024225233528149483,1000.4885484125732,2769.5299999999993,1285.4904552129221,0.0982,0.0914,0.0844,0.0884,0.0927,-0.008099999999999996,0.0033147973581462153,-2.557009843178163,0.14269051724271678,-0.03524893722007252
